,current_price.aed,current_price.ars,current_price.aud,current_price.bch,current_price.bdt,current_price.bhd,current_price.bmd,current_price.bnb,current_price.brl,current_price.btc,current_price.cad,current_price.chf,current_price.clp,current_price.cny,current_price.czk,current_price.dkk,current_price.dot,current_price.eos,current_price.eth,current_price.eur,current_price.gbp,current_price.hkd,current_price.huf,current_price.idr,current_price.ils,current_price.inr,current_price.jpy,current_price.krw,current_price.kwd,current_price.lkr,current_price.ltc,current_price.mmk,current_price.mxn,current_price.myr,current_price.ngn,current_price.nok,current_price.nzd,current_price.php,current_price.pkr,current_price.pln,current_price.rub,current_price.sar,current_price.sek,current_price.sgd,current_price.thb,current_price.try,current_price.twd,current_price.uah,current_price.usd,current_price.vef,current_price.vnd,current_price.xag,current_price.xau,current_price.xdr,current_price.xlm,current_price.xrp,current_price.yfi,current_price.zar,current_price.bits,current_price.link,current_price.sats,market_cap.aed,market_cap.ars,market_cap.aud,market_cap.bch,market_cap.bdt,market_cap.bhd,market_cap.bmd,market_cap.bnb,market_cap.brl,market_cap.btc,market_cap.cad,market_cap.chf,market_cap.clp,market_cap.cny,market_cap.czk,market_cap.dkk,market_cap.dot,market_cap.eos,market_cap.eth,market_cap.eur,market_cap.gbp,market_cap.hkd,market_cap.huf,market_cap.idr,market_cap.ils,market_cap.inr,market_cap.jpy,market_cap.krw,market_cap.kwd,market_cap.lkr,market_cap.ltc,market_cap.mmk,market_cap.mxn,market_cap.myr,market_cap.ngn,market_cap.nok,market_cap.nzd,market_cap.php,market_cap.pkr,market_cap.pln,market_cap.rub,market_cap.sar,market_cap.sek,market_cap.sgd,market_cap.thb,market_cap.try,market_cap.twd,market_cap.uah,market_cap.usd,market_cap.vef,market_cap.vnd,market_cap.xag,market_cap.xau,market_cap.xdr,market_cap.xlm,market_cap.xrp,market_cap.yfi,market_cap.zar,market_cap.bits,market_cap.link,market_cap.sats,total_volume.aed,total_volume.ars,total_volume.aud,total_volume.bch,total_volume.bdt,total_volume.bhd,total_volume.bmd,total_volume.bnb,total_volume.brl,total_volume.btc,total_volume.cad,total_volume.chf,total_volume.clp,total_volume.cny,total_volume.czk,total_volume.dkk,total_volume.dot,total_volume.eos,total_volume.eth,total_volume.eur,total_volume.gbp,total_volume.hkd,total_volume.huf,total_volume.idr,total_volume.ils,total_volume.inr,total_volume.jpy,total_volume.krw,total_volume.kwd,total_volume.lkr,total_volume.ltc,total_volume.mmk,total_volume.mxn,total_volume.myr,total_volume.ngn,total_volume.nok,total_volume.nzd,total_volume.php,total_volume.pkr,total_volume.pln,total_volume.rub,total_volume.sar,total_volume.sek,total_volume.sgd,total_volume.thb,total_volume.try,total_volume.twd,total_volume.uah,total_volume.usd,total_volume.vef,total_volume.vnd,total_volume.xag,total_volume.xau,total_volume.xdr,total_volume.xlm,total_volume.xrp,total_volume.yfi,total_volume.zar,total_volume.bits,total_volume.link,total_volume.sats
2021-12-22,14826.247113528729,412401.7713648731,5647.363138554903,9.18783924644925,346263.54201335524,1521.9487787038097,4036.549717813428,7.616715245595032,23192.803713640642,0.08206723194010278,5215.080956174829,3726.6678325266093,3506667.141848737,25721.298456878936,90241.10549143697,26592.385885983065,159.70949371301987,1212.0158843264205,1.0,3576.2821362397544,3042.089183134043,31491.013453930525,1315511.5530353955,57577143.34740489,12778.384345190401,305512.921663194,460239.3257256511,4808913.45420438,1222.5417399347134,817278.6269285459,25.979319591875814,7175918.142599981,84056.26768485544,16987.819487417848,1659121.547995258,36104.23273753022,5965.93571538417,201586.97211228538,718602.3919303914,16538.180141251123,298319.5922751146,15156.711365826637,36854.344771591444,5505.966838489615,135947.66434243874,49807.2695265801,111989.63171604424,110037.16472718696,4036.549717813428,404.1797232446588,92570800.84728633,179.40223210587325,2.2553010583367215,2878.3828727784003,15002.779267956515,4247.9132037549725,0.11612920786621037,64009.18349525466,82067.23194010278,206.68379191826492,8206723.194010277,1765134888910.96,49110973649868.31,672478908187.9163,1092439498.2588236,41224313481727.016,181195205223.1866,480570348192.474,904964332.7041368,2761092907022.4536,9759569.83483609,620832974008.3677,443676962561.7385,417485319681933.56,3062242315717.2695,10745649099653.338,3165858569061.3975,18911477502.056576,143815207419.94412,118836767.374,425770430817.7384,362175114930.3833,3748895646325.1235,156609642864152.28,6854831418100047,1521327134162.4707,36372759263451.62,54783577982897.5,572523906472862.1,145552744208.79547,97300888573242.81,3086667107.0914183,854327017247298.0,10006623212499.45,2022480310368.0273,197526272622159.34,4297875183582.7886,710125347554.2703,23987668930027.383,85553015779278.2,1968944293009.0342,35516359355025.55,1804289358029.9355,4387425142835.3237,655594069004.1737,16183687045729.787,5967064202477.12,13332895683217.182,13100445247507.557,480570348192.474,48119508964.51241,11020991962347248,21359160576.367737,268523487.7560271,342685103889.0897,1780396093818.0974,504641289809.7424,13829418.91941602,7621846683473.34,9759569834836.092,24470472885.637432,975956983483609.0,61082657886.27358,1699054124694.0176,23266572309.93636,37852980.40074043,1426571222868.0852,6270277020.080681,16630181836.72027,31380106.374951262,95552035779.24377,338108.80217264016,21485612876.678318,15353499407.297092,14447118526112.523,105969181681.7652,371784345141.71826,109557974922.1294,657987169.0362306,4993384438.296994,4118778.1281099413,14733925352.788252,12533103718.698528,129739831433.35455,5419776260587.133,237212082209886.28,52645667735.05012,1258682735482.0225,1896140072659.1704,19812243319472.926,5036749912.523779,3367106347558.9263,107032202.99766253,29564066318871.36,346303430859.85754,69988120259.8374,6835415134519.409,148745834307.63235,24579059520.853977,830518199081.4551,2960570110995.1978,68135651044.681244,1229046936570.0781,62444137612.88203,151836220998.3499,22684033670.37788,560090804360.7222,205200977796.01984,461386101859.7846,453342132795.9082,16630181836.72027,1665180107.3108017,381382457415911.8,739119285.1330231,9291615.195812361,11858650064.128494,61809952737.915436,17500978296.711605,478440.74231185473,263711445457.60803,338108802172.64014,851516587.8262744,33810880217264.016
2021-12-23,14665.055406041763,408259.16509892995,5535.277224725905,9.087370783029602,342543.19440557825,1505.2640517163436,3992.5945766373156,7.466763350804827,22576.1260335957,0.08181163471785796,5128.032577908901,3671.1707502451327,3436346.3002202036,25433.226712637384,88449.34506434858,26211.782655081628,146.44235080143247,1188.2355309453887,1.0,3525.001862794438,2989.818515363668,31141.239549126884,1297975.7399453518,56784676.36622423,12637.99916910469,301300.1515772911,455666.8338424635,4743022.690289185,1209.165252723768,808496.6886561003,25.66684412396275,7098799.930889086,82740.13444948601,16822.797248661336,1641220.477136584,35466.89636534734,5866.977989558354,200508.08766094266,712256.9651056554,16331.284900709847,294012.6683262839,14989.761145175935,36281.96458519494,5437.650302137967,134290.7548888187,48065.65232235826,110698.67723184612,108847.51474898291,3992.5945766373156,399.77849495869447,91678410.72656465,175.23305952321513,2.213494433287733,2850.860253718376,14845.71841789494,4176.270777785993,0.12619609052556782,62753.605258297066,81811.63471785796,199.22626747599372,8181163.471785796,1745935005408.3982,48604025238879.805,658801147284.9082,1079205994.7649755,40781172482357.14,179207860284.77594,475334762859.67194,885505342.182763,2687780416590.016,9714170.750804905,610401135726.2477,437043695702.74884,409111123698062.3,3027929972892.394,10529473066438.64,3120384010272.889,17389904528.227283,141066499815.988,118850247.9365,419665932107.3622,355919262395.0139,3707435276443.1875,154503761989434.06,6760448664771687,1504605644965.488,35871019045514.47,54242588796350.04,564676308212962.1,143956083601.5773,96254847417754.11,3049987999.462153,845141252628600.9,9845276208778.39,2002823023309.231,195394030454553.62,4222225201294.0215,698302892082.8354,23871310364808.438,84797113532321.67,1944285547263.0642,34997472585069.062,1784592555667.4866,4315876131607.398,647266673929.3553,16004018561306.068,5724074855304.453,13179131635047.299,12958743147582.178,475334762859.67194,47595269805.139,10914690882229706,20848030591.901062,263402005.49105844,339406608068.0314,1760484328350.094,496079238559.74524,14962256.347712835,7471145435461.324,9714170750804.906,23663163986.005894,971417075080490.5,51504968522.08816,1433842209597.8882,19440382005.177086,31915647.992414434,1203041922231.4248,5286620162.999224,14022344430.178228,26223931.700022444,79289346580.44278,287329.67958292685,18010102873.298912,12893475591.826744,12068751404165.793,89323736254.67839,310641903982.2899,92058093418.56303,514318457.00500935,4173188025.798766,3514777.685138919,12380117562.23791,10500506425.439108,109370780969.28256,4558605322471.363,199432793658209.88,44385768165.50895,1058192716837.2931,1600342125127.3806,16657914177552.389,4246695055.3683496,2839511706330.7715,90144221.21592632,24931611702906.562,290590652564.3564,59083148256.55599,5764111124864.954,124562869371.82645,20605344358.091854,704202095216.5187,2501509305739.908,57356913523.134544,1032598432666.1107,52645363727.56122,127425460875.52509,19097507639.170357,471640979992.9238,168810811913.93118,388783521671.1212,382282075698.4139,14022344430.178228,1404057347.7937462,321982667496874.1,615433966.3151964,7773987.752090828,10012472749.891161,52139472960.08502,14667431454.842445,443211.8045358476,220396198581.32648,287329679582.9268,699700229.6286415,28732967958292.684
2021-12-24,15109.406792768661,420704.28078159166,5687.025060825491,9.012334332303617,353097.9720899992,1550.9941202235257,4113.529931874606,7.488454889472794,23345.631601206038,0.08086783066792701,5275.5527752700045,3779.5359825859796,3534934.52205239,26204.41972502081,91050.5169240853,27005.509111603747,140.52302059991368,1174.2505933350185,1.0,3631.7738739031156,3068.2902032451357,32081.008585696858,1343232.0639543312,58279875.0453097,12969.054898615655,308792.81951399066,470851.0901220949,4877206.7637271285,1244.791179154645,833416.8902227234,25.132852748216564,7317595.968794137,84915.18703069408,17276.825713873382,1691463.7630431664,36331.120051899496,6029.801396518667,206102.24694167956,733832.5469402216,16822.848323531845,301660.78131810634,15445.07494873956,37387.64730666206,5589.05311843803,137869.54225265147,47000.3702956129,113690.97431612981,112054.09791798911,4113.529931874606,411.88775207860454,94422816.16245921,179.8266631488375,2.2740827522382436,2931.2150453252752,14241.04592135228,4129.642024490023,0.1297778487371363,64350.17003047773,80867.830667927,185.1567361517632,8086783.0667927,1793540418871.905,49942808044593.234,674783998418.7927,1071007487.4890804,41913987322666.66,184108528032.01474,488290658809.1535,889785905.64653,2771195975939.594,9605865.952888584,625967139804.3477,448568702005.6884,419609322213824.3,3110557983811.951,10807092517802.965,3205606202002.453,16741108219.531858,139560443777.8562,118863880.999,431080083769.77905,364218932149.70044,3808154433519.6514,159441480948551.25,6918028810409277,1539473023280.3252,36654807859222.086,55890725388613.39,578941819617073.5,147761147971.5793,98929554209923.2,2989114943.9455147,868624713002482.1,10079832898863.232,2050820766998.449,200782775107162.03,4312656342201.271,715508904235.4529,24465071023644.445,87108537858078.88,1996704489863.9458,35820514439580.695,1833385424921.3916,4437924869265.467,663342859992.2356,16362643414646.328,5600591315502.645,13495426545523.9,13301220654958.436,488290658809.1535,48892543666.560616,11208324692941172,21346065611.43514,269941724.9094643,347945669363.56775,1692586689911.2166,491168818485.6894,15426229.587864144,7651483372937.274,9605865952888.584,22115369446.076466,960586595288858.5,68214837723.32214,1899364722694.3538,25675362174.92962,40688223.728323095,1594140736093.041,7002314099.552254,18571462177.267685,33808324.97860104,105399139295.58823,365096.1299612284,23817677384.7997,17063570877.246614,15959262206096.666,118305785507.84837,411068172416.514,121922484909.56046,634422990.7955018,5301420152.987038,4515368.38811613,16396465384.377,13852490780.948338,144836976374.29294,6064325259364.979,263117690408202.28,58551734523.24617,1394115094138.262,2125763846658.7683,22019254130477.44,5619891598.000808,3762649235814.3306,113467953.7891765,33036943698877.027,383368836579.11816,78000141144.52444,7636496104274.028,164025066810.23245,27222903546.699146,930495255198.7327,3313053172251.422,75950557435.71687,1361915893015.3147,69730287608.44937,168794998298.76636,25233045660.25362,622443262051.4542,212193812545.02527,513283643093.977,505893594007.09,18571462177.267685,1859560507.8098145,426293180813948.6,811868183.3952183,10266861.435458917,13233633946.815233,64294425973.120224,18644203867.144604,585911.4797228521,290523411428.5744,365096129961.2284,835932004.6911047,36509612996122.84
2021-12-25,14894.446088738752,414658.05391424656,5613.669285972444,8.966465369056502,347609.2551413297,1528.2115309017381,4055.1173669313243,7.473016127907529,23012.231451138603,0.07977926135596482,5195.314992578245,3732.4800638661673,3509379.671689709,25821.365345671904,89646.88514248772,26640.09354205533,144.04444043413113,1196.9359841543246,1.0,3581.467493121647,3029.0347991072244,31630.929241406055,1322535.9780509837,57504605.60111137,12780.959468267856,304601.96987497876,463931.78503982903,4813505.416894822,1226.977137299243,821172.3251086496,25.106448404374134,7210089.999646999,83607.59884791695,17011.217354276898,1666409.930766758,35920.22963627771,5948.5368230162685,202814.9635719543,722216.403050469,16547.916139987625,298710.0830415791,15225.29905958929,37017.13888403261,5511.310013396363,135479.7802452333,43370.33181397762,112303.63689500613,110357.39142498239,4055.1173669313243,406.0389019508341,93085219.15790838,177.3506391450889,2.2423988015656837,2894.5833276892527,14480.866591264043,4444.242029894844,0.12422046616501392,63101.68134681835,79779.26135596482,188.52634117310944,7977926.135596481,1772217690244.2024,49338144847472.35,667943202218.3601,1064658979.6730862,41360334421556.21,181834456505.69772,482498690510.26416,887604788.132765,2738113483826.4634,9483660.000333125,617940897923.4005,444109647197.196,417564016741392.5,3072358661693.1553,10666646800979.5,3169775147307.18,17102157606.082228,142116139032.3507,118877347.749,426141395962.5938,360410116855.69006,3763610410652.6875,157362122923017.47,6842193305453425,1520744197737.1562,36243106744587.9,55200986435862.58,572735595609493.2,145992041281.1432,97707300602257.27,2981883796.6479316,857893537597759.5,9948061501202.525,2024082006690.5574,198278011878287.62,4273973400539.92,707787461582.0068,24131965978929.99,85933016779878.06,1968956048801.0708,35542059789712.35,1811584275904.2434,4404489296322.949,655763970272.4998,16120079565495.26,5160424819732.28,13362463484598.389,13130889203085.383,482498690510.26416,48312593880.79271,11075757440663144,21102089879.44019,266812125.8783662,344412390273.13153,1721444515881.4375,528282394304.49615,14720180.228370134,7508162123030.216,9483660000333.125,22386469195.07902,948366000033312.5,49039952368.24214,1365261325725.7803,18483001835.381725,29522080.37749581,1144503206989.3135,5031635297.984135,13351470832.627863,24604899.891965263,75767754472.18814,262673.1570654435,17105570643.992023,12289187758.771492,11554629887972.814,85016825673.8412,295162300843.9882,87712487634.94873,474266210.08355,3940910813.403305,3292279.8413849487,11791978984.964437,9973094761.964708,104144810362.20547,4354448697353.257,189333870009787.56,42081299284.984955,1002901753106.187,1527495047813.0413,15848462907745.932,4039821287.1823673,2703709253068.0923,82662962.19079435,23739215815535.496,275277955332.9557,56009420142.87387,5486653423960.094,118267328635.41776,19585552945.26931,667768112615.8364,2377896955291.023,54484001248.77529,983502720208.4515,50129285522.00534,121878901495.6435,18145984008.624527,446067072954.7589,142796784363.83002,369759638680.0457,363351626956.8683,13351470832.627863,1336882774.47103,306483012962972.06,583926843.8943965,7383096.341026556,9530413395.038109,47678242188.76955,14632663488.155153,408995.78994743014,207762237626.52225,262673157065.4435,620722834.283738,26267315706544.35
2021-12-26,15098.130481645821,420328.5819400848,5690.437284841411,8.980493140746846,352362.8780475125,1549.1101152499368,4110.571870853741,7.4826290817315035,23326.92810817683,0.08103478499239211,5264.450500721093,3783.522441093004,3557371.108474246,26174.477444848275,90872.82340615078,27004.401905573664,141.61927206452089,1199.4542343807332,1.0,3630.4447446224094,3070.457428084137,32063.48823562688,1340621.9099602406,58290992.057609215,12955.741528275486,308767.45994709217,470276.1407428285,4879331.022140809,1243.7562838235715,832402.0133773735,25.837750619385126,7308689.35645648,84750.94871888793,17243.84899823143,1689198.4046086369,36411.44563202244,6029.8841993646365,205588.49690656096,732092.8501990509,16774.212051414524,302795.00043676374,15433.507930016896,37523.3553230884,5586.678229677315,137332.49209675318,43963.42937887361,113839.41056298435,111866.54981471255,4110.571870853741,411.5915614285853,94358177.29544786,179.7759429832259,2.2730640331446996,2931.48310370244,14097.87890522024,4426.892374306998,0.13105837230482772,63964.60888235504,81034.78499239212,184.94638907988244,8103478.499239211,1795336285099.3257,49981761366995.516,676656526977.124,1067010706.9169469,41899880336162.66,184206488538.66977,488792890035.21063,889342403.1346427,2773832197530.997,9627204.994794993,626001942196.995,449903061325.3397,423011142894271.94,3112437606588.2114,10805793299297.371,3211124891086.3237,16841774059.96576,142625852302.02878,118890910.999,431700414100.42847,365111669898.0414,3812706740497.1567,159414913156083.97,6931449775366820,1540582318741.879,36715898380588.25,55921083773813.41,580206936329595.9,147896508702.40372,98981893170341.03,3069122831.519592,869084766098488.5,10077834048167.984,2050486173697.7102,200864550231069.38,4329727419931.897,717020555043.342,24446767680547.08,87054013715271.11,1994641097218.2983,36005706262218.7,1835216408204.4136,4461945896686.426,664318416846.8556,16330366140648.414,5227742605433.493,13536776934502.113,13302181764515.557,488792890035.21063,48942832079.22572,11220240790758272,21377366821.54779,270292692.33167094,348586071078.84106,1675680020670.5652,525833652616.9837,15580071.317098472,7606106161837.921,9627204994794.994,22006620346.513462,962720499479499.4,43596096068.47619,1213705581685.2869,16431229736.898,25931319.257191412,1017453511942.9944,4473080523.922096,11869342790.219467,21606212.54985872,67356882365.190506,233989.2528887149,15201186004.861967,10924982269.801233,10271966637511.734,75579227151.00145,262396747997.66092,77975647460.34682,408927939.6265687,3463443510.133368,2889902.546760365,10482967944.293455,8865995506.639078,92583841099.40935,3871067457602.181,168316182772404.78,37409913299.641495,891571036760.9325,1357929965929.2434,14089147278846.316,3591366394.7506576,2403574282717.2285,74606922.99390265,21103958778609.84,244719735780.18597,49791893004.97063,4877587726212.789,105138638435.76404,17411388195.17152,593640111443.4551,2113929950938.0857,48435808721.845276,874325463284.5416,44564503877.387375,108349295660.51846,16131623786.187263,396549793105.2884,126945113703.38304,328713140035.1738,323016472701.6956,11869342790.219467,1188477293.5846758,272460763749488.5,519105944.31710446,6563509.176135554,8464704896.244539,40707853456.48487,12782723362.320185,378433.1706846234,184698843158.60504,233989252888.7149,534035691.08414555,23398925288871.49
2021-12-27,14967.456660358252,416536.14185857394,5634.717370849544,9.009544317968539,349316.32738717983,1535.7164159173292,4075.03161894955,7.445678991533367,23119.365887580752,0.08016301725136812,5221.721066332242,3744.2164770916092,3526613.8636713265,25948.57883998508,90154.73627783779,26758.86627716021,129.77352372456298,1197.35564274689,1.0,3598.6318974730157,3040.0713884952197,31783.473989052287,1330778.5199150078,57822049.902341895,12839.198046792719,307236.9926105751,465911.73843326984,4830949.984264699,1233.00269210366,825205.0154485112,26.076608324378242,7245503.20424484,84053.2729354172,17094.757641493397,1674577.185214594,36085.244442311836,5978.478888160892,203810.96638326073,726582.791344814,16636.15765812839,300161.0547320202,15305.411257612617,37146.66385306798,5532.874180628759,136118.12224153918,44667.19583131371,112855.1481646747,110899.34488922298,4075.03161894955,408.03291600541877,93122314.21896744,178.2371152258592,2.254429742551463,2906.137324275208,13940.272695613792,4422.623234089895,0.13077348510898207,63385.69057169369,80163.01725136812,176.69074928793617,8016301.725136812,1780637879708.3174,49554179396780.63,670190512745.8235,1071198947.5118625,41557219684063.164,182700032792.80145,484795501758.7465,885766534.9704977,2750448495588.11,9530476.112331219,621192716178.5687,445324906392.05414,419551723132054.06,3087032316549.166,10724150144108.717,3183542981061.786,15428749140.145163,142369371551.75223,118904516.9365,428124846785.15607,361671988177.0772,3781118399576.6816,158358124866917.12,6878933052880466,1527444702595.7837,36551154915918.695,55424488136319.5,574725067334993.5,146686998944.6522,98172411143479.16,3102244074.489554,861977940259991.9,9999806519429.867,2033717129877.9395,199219923341141.4,4293116261734.6094,711271598769.3579,24246840012784.387,86439591600047.39,1979124308424.8887,35709349704323.28,1820843425055.672,4418566793724.722,658412890826.0966,16193121897107.594,5300582883418.012,13426072064357.252,13193395432879.13,484795501758.7465,48542573591.10323,11078510124139224,21209022681.18729,268276134.76325497,345735305647.7618,1657897526779.4832,525729064024.38763,15557983.841068376,7541194735195.025,9530476112331.219,21035320634.055748,953047611233122.0,43398947592.19998,1207769001840.874,16338166825.766178,26123659.52063902,1012861525467.2887,4452892549.700699,11815773894.02084,21589147.68717738,67035847925.815704,232436.9906972209,15140661773.154947,10856557553.530342,10225607043363.535,75239303424.95659,261408518741.4094,77588775537.59137,376285329.0829322,3471797244.3792214,2900166.0832229154,10434427215.392548,8814850903.513004,92157896511.71877,3858664070535.1816,167658151303124.88,37227946992.11754,890850225476.6063,1350936206310.1702,14007599951361.725,3575157785.983355,2392726435154.636,75610531.81796415,21008727198987.758,243716996805.37045,49567171485.41753,4855526837281.814,104631111880.9769,17334921879.917995,590960885974.0004,2106765978917.7039,48237436107.15819,870333162081.9684,44378865168.55288,107708754691.37852,16042867004.606817,394681834566.79767,129514942649.40254,327229586953.1819,321558629904.29395,11815773894.02084,1183113440.0083075,270013170985631.88,516808125.6690157,6536840.59138916,8426501862.9382305,40420572303.3935,12823634523.33653,379184.771032316,183790227400.63147,232436990697.22092,512324354.2560655,23243699069722.09
2021-12-28,14857.878114123296,414799.89182427025,5590.2609658649135,8.683772765777857,347296.98907508404,1525.3039180516419,4045.051350119327,7.15919155881765,22755.840875231323,0.07966664448795108,5174.114173067334,3710.9301085994716,3470022.8847699156,25772.235667015306,89479.3674005845,26550.503546778218,130.3444151070273,1188.8217838488335,1.0,3570.558736647628,3009.247186048323,31546.34421674312,1320264.310165445,57496562.14316363,12594.914586812509,303300.14264977875,464549.87725310365,4800974.434990096,1224.3844580135697,821759.3455626813,25.918782257954767,7197313.709186366,83730.59300746232,16920.449797549154,1663685.440253234,35765.73323500119,5935.817567551559,203203.15457324462,709310.4938547583,16437.373585112513,296882.4987906583,15190.907191778599,36838.282645536674,5485.825830107528,135470.60616880888,47063.80840401682,112005.44935912918,110411.95396541725,4045.051350119327,405.03099168744797,92311694.56175749,175.5283694542142,2.232302038076849,2885.9863813074826,13476.036905943163,4358.21824742996,0.1269741101781656,62885.37955179262,79666.64448795107,175.268735712216,7966664.448795107,1766872693164.387,49327272465317.96,664783986810.3738,1032658960.831892,41299946176815.44,181386455110.3243,481030381194.1921,851358449.2515049,2706084512446.051,9473817.029633211,615296543253.8774,441297271707.552,412649009008056.9,3064788867702.561,10640728753282.354,3157339113044.318,15500328242.71013,141372592424.54227,118918238.499,424604555419.35077,357854374572.9391,3751435685338.2075,157003506117972.1,6837389889813307,1497765056709.104,36067918700407.1,55243453097865.76,570923422887754.0,145601642992.52658,97722173844405.1,3082215930.155115,855891868221146.6,9957094628924.105,2012150084535.3062,197842541971347.9,4253197994931.4824,705876969184.6504,24164561199290.266,84349954478063.62,1954703512291.572,35304743797366.586,1806475924448.1018,4380743681535.5024,652364744428.7017,16109925853986.518,5596745192460.112,13319490740076.594,13129995074800.104,481030381194.1921,48165572068.97443,10977544110141918,20873524502.096832,265461426.1658265,343196416797.1892,1602546570802.2747,518271636978.56976,15099537.5173654,7478218563640.213,9473817029633.209,20842649314.843502,947381702963320.9,43067945324.514404,1202364087555.7336,16204268993.079132,25171309.645589706,1006696085535.6814,4421338312.330873,11725230819.88359,20752066.227397304,65961458500.337234,230926.56048464682,14998000696.79114,10756726754.16121,10058418485343.91,74704963122.72443,259370313397.39862,76960897532.4699,377824215.5485942,3445990820.0972853,2898969.732108742,10349837794.249601,8722786139.528463,91442143856.5672,3826998087301.799,166663017135366.38,36508382194.63864,879164161949.9756,1346572408278.7102,13916395253909.07,3549074941.178107,2382001406443.1304,75129751.9463772,20862569401209.996,242706567784.18033,49046640519.57309,4822459373247.108,103672720399.55682,17205920286.32933,589016970236.8528,2056050354754.4136,47646366554.139336,860561590794.5375,44033283577.91536,106781677076.67975,15901546983.771366,392683303412.6927,136422005318.57167,324665778787.16693,320046776533.6745,11725230819.88359,1174047361.9949431,267580268438191.75,508797162.0503043,6470685.88026095,8365494905.984959,39062456711.406715,12632995354.44398,368054.84556936537,182283369633.61536,230926560484.64682,508044571.96180797,23092656048464.684
