,current_price.aed,current_price.ars,current_price.aud,current_price.bch,current_price.bdt,current_price.bhd,current_price.bmd,current_price.bnb,current_price.brl,current_price.btc,current_price.cad,current_price.chf,current_price.clp,current_price.cny,current_price.czk,current_price.dkk,current_price.dot,current_price.eos,current_price.eth,current_price.eur,current_price.gbp,current_price.hkd,current_price.huf,current_price.idr,current_price.ils,current_price.inr,current_price.jpy,current_price.krw,current_price.kwd,current_price.lkr,current_price.ltc,current_price.mmk,current_price.mxn,current_price.myr,current_price.ngn,current_price.nok,current_price.nzd,current_price.php,current_price.pkr,current_price.pln,current_price.rub,current_price.sar,current_price.sek,current_price.sgd,current_price.thb,current_price.try,current_price.twd,current_price.uah,current_price.usd,current_price.vef,current_price.vnd,current_price.xag,current_price.xau,current_price.xdr,current_price.xlm,current_price.xrp,current_price.yfi,current_price.zar,current_price.bits,current_price.link,current_price.sats,market_cap.aed,market_cap.ars,market_cap.aud,market_cap.bch,market_cap.bdt,market_cap.bhd,market_cap.bmd,market_cap.bnb,market_cap.brl,market_cap.btc,market_cap.cad,market_cap.chf,market_cap.clp,market_cap.cny,market_cap.czk,market_cap.dkk,market_cap.dot,market_cap.eos,market_cap.eth,market_cap.eur,market_cap.gbp,market_cap.hkd,market_cap.huf,market_cap.idr,market_cap.ils,market_cap.inr,market_cap.jpy,market_cap.krw,market_cap.kwd,market_cap.lkr,market_cap.ltc,market_cap.mmk,market_cap.mxn,market_cap.myr,market_cap.ngn,market_cap.nok,market_cap.nzd,market_cap.php,market_cap.pkr,market_cap.pln,market_cap.rub,market_cap.sar,market_cap.sek,market_cap.sgd,market_cap.thb,market_cap.try,market_cap.twd,market_cap.uah,market_cap.usd,market_cap.vef,market_cap.vnd,market_cap.xag,market_cap.xau,market_cap.xdr,market_cap.xlm,market_cap.xrp,market_cap.yfi,market_cap.zar,market_cap.bits,market_cap.link,market_cap.sats,total_volume.aed,total_volume.ars,total_volume.aud,total_volume.bch,total_volume.bdt,total_volume.bhd,total_volume.bmd,total_volume.bnb,total_volume.brl,total_volume.btc,total_volume.cad,total_volume.chf,total_volume.clp,total_volume.cny,total_volume.czk,total_volume.dkk,total_volume.dot,total_volume.eos,total_volume.eth,total_volume.eur,total_volume.gbp,total_volume.hkd,total_volume.huf,total_volume.idr,total_volume.ils,total_volume.inr,total_volume.jpy,total_volume.krw,total_volume.kwd,total_volume.lkr,total_volume.ltc,total_volume.mmk,total_volume.mxn,total_volume.myr,total_volume.ngn,total_volume.nok,total_volume.nzd,total_volume.php,total_volume.pkr,total_volume.pln,total_volume.rub,total_volume.sar,total_volume.sek,total_volume.sgd,total_volume.thb,total_volume.try,total_volume.twd,total_volume.uah,total_volume.usd,total_volume.vef,total_volume.vnd,total_volume.xag,total_volume.xau,total_volume.xdr,total_volume.xlm,total_volume.xrp,total_volume.yfi,total_volume.zar,total_volume.bits,total_volume.link,total_volume.sats
2021-12-28,14857.878114123296,414799.89182427025,5590.2609658649135,8.683772765777857,347296.98907508404,1525.3039180516419,4045.051350119327,7.15919155881765,22755.840875231323,0.07966664448795108,5174.114173067334,3710.9301085994716,3470022.8847699156,25772.235667015306,89479.3674005845,26550.503546778218,130.3444151070273,1188.8217838488335,1.0,3570.558736647628,3009.247186048323,31546.34421674312,1320264.310165445,57496562.14316363,12594.914586812509,303300.14264977875,464549.87725310365,4800974.434990096,1224.3844580135697,821759.3455626813,25.918782257954767,7197313.709186366,83730.59300746232,16920.449797549154,1663685.440253234,35765.73323500119,5935.817567551559,203203.15457324462,709310.4938547583,16437.373585112513,296882.4987906583,15190.907191778599,36838.282645536674,5485.825830107528,135470.60616880888,47063.80840401682,112005.44935912918,110411.95396541725,4045.051350119327,405.03099168744797,92311694.56175749,175.5283694542142,2.232302038076849,2885.9863813074826,13476.036905943163,4358.21824742996,0.1269741101781656,62885.37955179262,79666.64448795107,175.268735712216,7966664.448795107,1766872693164.387,49327272465317.96,664783986810.3738,1032658960.831892,41299946176815.44,181386455110.3243,481030381194.1921,851358449.2515049,2706084512446.051,9473817.029633211,615296543253.8774,441297271707.552,412649009008056.9,3064788867702.561,10640728753282.354,3157339113044.318,15500328242.71013,141372592424.54227,118918238.499,424604555419.35077,357854374572.9391,3751435685338.2075,157003506117972.1,6837389889813307,1497765056709.104,36067918700407.1,55243453097865.76,570923422887754.0,145601642992.52658,97722173844405.1,3082215930.155115,855891868221146.6,9957094628924.105,2012150084535.3062,197842541971347.9,4253197994931.4824,705876969184.6504,24164561199290.266,84349954478063.62,1954703512291.572,35304743797366.586,1806475924448.1018,4380743681535.5024,652364744428.7017,16109925853986.518,5596745192460.112,13319490740076.594,13129995074800.104,481030381194.1921,48165572068.97443,10977544110141918,20873524502.096832,265461426.1658265,343196416797.1892,1602546570802.2747,518271636978.56976,15099537.5173654,7478218563640.213,9473817029633.209,20842649314.843502,947381702963320.9,43067945324.514404,1202364087555.7336,16204268993.079132,25171309.645589706,1006696085535.6814,4421338312.330873,11725230819.88359,20752066.227397304,65961458500.337234,230926.56048464682,14998000696.79114,10756726754.16121,10058418485343.91,74704963122.72443,259370313397.39862,76960897532.4699,377824215.5485942,3445990820.0972853,2898969.732108742,10349837794.249601,8722786139.528463,91442143856.5672,3826998087301.799,166663017135366.38,36508382194.63864,879164161949.9756,1346572408278.7102,13916395253909.07,3549074941.178107,2382001406443.1304,75129751.9463772,20862569401209.996,242706567784.18033,49046640519.57309,4822459373247.108,103672720399.55682,17205920286.32933,589016970236.8528,2056050354754.4136,47646366554.139336,860561590794.5375,44033283577.91536,106781677076.67975,15901546983.771366,392683303412.6927,136422005318.57167,324665778787.16693,320046776533.6745,11725230819.88359,1174047361.9949431,267580268438191.75,508797162.0503043,6470685.88026095,8365494905.984959,39062456711.406715,12632995354.44398,368054.84556936537,182283369633.61536,230926560484.64682,508044571.96180797,23092656048464.684
2021-12-29,13984.411785662358,390604.0904153775,5262.800015183121,8.615163730248499,326671.2149426023,1435.622336971086,3807.3603674991996,7.10234005706908,21430.87003657947,0.07980883030617751,4878.987631256262,3492.1109290702652,3258465.913248943,24247.935972492134,83840.74044458957,25017.784238800465,135.8782632990705,1210.4854406270094,1.0,3365.101194570858,2834.0163042687645,29691.890193960906,1243030.0662841566,54170932.94076025,11812.830497014047,284468.61651834595,436966.9420175157,4524094.163414193,1152.468946440174,772510.5668526724,26.011156581494063,6770291.925406178,78677.95978626076,15916.670016330389,1565191.733194039,33503.50338299055,5594.124129083635,193033.17063220977,679319.7374691013,15476.53535048711,280611.9774856099,14304.359506784795,34448.768163510686,5155.146900792078,127601.29550178531,45116.078146755324,105288.74360282294,103689.60275278824,3807.3603674991996,381.2309935976952,86965750.71274093,165.4438952012003,2.10737396341081,2714.507069693331,13774.279078173488,4434.492367365149,0.13189336491306103,59968.210204332936,79808.83030617751,185.88621518201094,7980883.030617751,1667451933694.7356,46578384227468.45,627985305687.9299,1023765591.9283403,38951123392756.42,171178543547.47314,453976220406.2239,843716005.1140912,2555432144666.636,9496525.1558618,581864045551.9805,416384719475.4867,388527981813001.2,2891238354901.121,9998690061580.936,2983577118131.7466,16055959189.855206,143438547080.66516,118931676.5615,401304991362.2533,337905850253.8625,3540265458404.875,148241395011448.6,6459150965128743,1408520240718.959,33919082540596.082,52101488887361.14,539346878569095.5,137416332035.86185,92111435092233.81,3090320593.202587,807265728135287.2,9382023291020.205,1897847589408.2168,186627941319150.1,3995379343219.4414,667188422201.1094,23016594374595.56,80999689311294.42,1845697525065.2734,33459182384489.785,1705601371400.353,4108377656288.31,614850411702.9169,15218427382068.316,5381524911939.46,12556982256436.158,12363582484852.275,453976220406.2239,45456638949.275276,10369489358132958,19726533370.305336,251321235.61688614,323668248029.48285,1630136592123.5251,526248755223.628,15503843.361571234,7148445759382.525,9496525155861.799,21972907456.927925,949652515586180.0,66149152664.91168,1847637927461.243,24894129762.838573,40751501.712049015,1545222237421.9001,6790789816.045146,18009599978.903225,33595533.64946397,101372436361.25035,377512.2315365457,23078618008.1653,16518405100.650036,15413215975941.469,114697739385.64088,396583998255.43396,118339280501.37509,642732216.454649,5725845851.649197,4730300.264240081,15917622854.953796,13405481763.496574,140448765915.47586,5879788644811.523,256239688019836.2,55877125182.54454,1345595240676.547,2066943779978.7444,21399898692410.18,5451415865.614129,3654134346529.0806,123038136.61038284,32024877486722.28,372162980684.0417,75289132711.80487,7403679789739.996,158478482617.55527,26461361172.202686,913086718930.3951,3213322498712.6577,73207204944.64365,1327352542445.1155,67662571389.53888,162949780033.11755,24384908323.435066,603580451273.7551,213408356870.00983,498037477816.59015,490473211700.64984,18009599978.903225,1803301245.8875816,411365941498788.6,782583754.6032686,9968313.58832295,12840178429.758776,65155181609.094826,20976063712.666855,623882.8250229293,283662005427.7133,377512231536.5457,879280145.2674806,37751223153654.57
2021-12-30,13385.708310001366,374061.93531741295,5022.672306089854,8.449169352337766,312803.0974733685,1374.0975893003176,3644.405516878227,7.078629368992775,20787.324627721722,0.07824689609970908,4659.919114156344,3331.693657096977,3096542.035525922,23208.66765313559,80062.1225975396,23865.036019941967,135.97707799599013,1198.3925167776279,1.0,3209.0922111036725,2701.0074159680958,28415.2293727961,1188219.489238417,51822353.12835332,11369.087450453291,271765.37119391555,418937.7769975291,4317426.520921203,1102.326981095675,739220.5114245771,25.01956495671935,6482539.426713151,74987.8272873029,15240.903871584738,1504538.6362663596,31999.702640949254,5330.416841151603,185993.8901139847,650347.644894189,14758.931241977645,269722.45230415766,13680.682848131932,32908.9818174104,4926.033604998792,121969.06510360642,46071.116782167825,100710.23093451672,99301.93788825146,3644.405516878227,364.9143244050171,83177121.17450045,159.77256006270034,2.0197295374539146,2602.68499952824,13598.173981545004,4447.826323861755,0.125986519914903,58055.38352827572,78246.89609970909,184.47694660281263,7824689.609970909,1587015731826.7021,44348938621427.3,595560767406.4808,1004614881.3598744,37086079059667.37,162913641981.52997,432082393736.3374,842116172.8071297,2464684822433.21,9298400.718710728,552502028541.0801,395116880787.40643,367127447485954.5,2751630308031.1167,9494189645807.924,2830429606259.2104,16189435467.724743,142495306289.84866,118945269.249,380595887781.1097,320224903645.87463,3368949016456.5923,140858822334795.44,6144082014212605,1347924235499.88,32220627363306.414,49671111777945.07,511875817198041.0,130692393715.8241,87642323719488.34,2975746833.0222716,768572855027316.9,8889922418167.656,1806968570605.367,178378792485099.75,3795670996016.233,632161602815.0986,22051521129740.727,77105515800935.48,1750452625587.0432,31978417960426.324,1621988048693.325,3903043470859.712,584076881545.7565,14466058914922.264,5461780706263.548,11940769783861.2,11773283413906.703,432082393736.3374,43264410084.81946,9861517730321360,18925666852.988956,239369325.30599403,308575530228.34937,1615553838438.737,529627786532.5407,15046330.104502045,6884325571161.699,9298400718710.727,21934612113.577694,929840071871072.8,57036509621.21374,1593878088372.843,21401609139.83554,36001914.72092731,1332854150516.255,5855030496.5226145,15528813680.462475,30162043.185111165,88574800351.98991,333410.06234885706,19855917612.52334,14196348293.796724,13194367119878.547,98892144161.28908,341144743339.24097,101688930091.58165,579398395.4952946,5106351097.020935,4259379.932835438,13673943472.77227,11508993913.510597,121077306181.81345,5063003821727.065,220815071892072.22,48443687157.570625,1157992378874.1895,1785094071604.4207,18396556506121.9,4697015802.743168,3149818958819.2314,106608378.45288143,27622103651053.21,319523168553.6206,64941498811.69404,6410839861105.957,136350748521.30067,22712908753.454838,792520056263.812,2771131631295.596,62887813202.453094,1149287500491.028,58293396271.696526,140225187534.5762,20989831587.470707,519710245745.7915,196309051022.93454,429126343008.6379,423125605653.3512,15528813680.462475,1554900113.8247085,354417753791153.1,680790956.158317,8606068.541712308,11090042049.22541,57941825951.02812,18952190129.892563,536828.6226512633,247374017458.5811,333410062348.85706,786056359.2246978,33341006234885.703
2021-12-31,13644.964940747963,381420.5083757288,5124.670668129255,8.615127743378222,318803.95850970404,1400.5901611373238,3714.945456115339,7.166671914700669,20698.561597837815,0.078705846871896,4734.705413709916,3394.683723289091,3163423.242021185,23675.71888636868,81556.79434497403,24398.647272128732,134.82436214485097,1207.2036194875184,1.0,3280.4491505135456,2752.2953550176276,28968.958919514615,1210960.77032992,52997969.1187599,11537.543252511941,276508.73610517586,427411.9046169818,4420636.424375044,1123.8527292749225,753872.5440291219,25.09285119018776,6606954.812832297,76019.74987143397,15506.182333825465,1527468.3390208671,32748.971645293794,5440.753087317372,189555.57855613975,663017.1631936365,15072.733642842291,277084.03627345565,13947.342926148513,33612.72989834972,5022.985181104462,123754.34711851492,49403.57364269543,102806.28606889897,101371.95677312938,3714.945456115339,371.9774885208288,84584372.69355802,160.96661769238617,2.045634715409909,2644.026984644599,13835.855875760659,4419.52442912268,0.12278411326804206,59246.867725655124,78705.84687189599,186.2174401521976,7870584.6871895995,1622193213416.6472,45353494122980.875,609222546773.6007,1026061132.4158102,37901278614531.57,166510347519.48196,441654436877.796,853082802.4251484,2460677695064.638,9365668.643059567,562787882589.1431,403707487661.2562,376086251350232.1,2814707891665.888,9699128922829.588,2901665233742.749,16059520400.495468,143938147645.30945,118958844.124,390162829391.08813,327248271548.9716,3444025715317.4194,143975474437713.78,6300708444664170,1371650601155.7395,32873822812413.453,50818967779343.66,525869859689086.5,133610183553.14514,89624775880013.95,2986820034.900279,785473418602972.4,9037751403605.094,1843465619527.9248,181594367155085.16,3894773817050.5312,646639069011.451,22535475498420.793,78823356980535.95,1792984959047.2227,32951263384684.477,1658141676306.3147,3997250896039.285,597145064542.7404,14715572071564.258,5859650241276.157,12222212389825.11,12051690936709.91,441654436877.796,44222858764.573715,10055884785371478,19142442762.73086,243210265.29986504,314337387395.72296,1649615888703.9976,526075658570.0616,14596118.91250043,7035180214846.389,9365668643059.568,22195053472.550285,936566864305956.8,49384277937.26614,1380448867285.0935,18547366131.816372,31180136.027577143,1153825118855.9573,5069059106.722373,13445245167.227766,25937840.02067041,74912872498.24287,284854.62836202496,17135991856.122137,12286144026.606226,11449158960507.977,85687891975.25931,295172865382.5236,88304336684.80188,487960489.58634907,4369148570.958317,3618235.243831445,11872702737.713976,9961192232.289204,104845349551.78378,4382746567161.246,191811884342446.6,41757032368.31084,1000748945504.5576,1546902346979.8884,15999303683734.69,4067482458.480071,2728438761497.2715,90816820.91495094,23912094623380.027,275133023256.1637,56120453328.00884,5528260521162.309,118526088188.11546,19691341371.624775,686045395984.9131,2399612165111.028,54551702457.63219,1002831089616.4009,50478653667.6528,121652228696.70244,18179342881.098995,447895549793.2297,178802937380.8951,372079681184.3107,366888512360.98016,13445245167.227766,1346272398.5945158,306130370315117.9,582575347.1160414,7403624.25133396,9569344007.135506,50075156296.522285,15995279116.222343,444384.0495186625,214428090902.50485,284854628362.02496,673963902.5219988,28485462836202.496
2022-01-01,13540.156537875017,378556.6586369727,5074.546910826068,8.547845669959434,316062.6541176166,1389.6152431385126,3686.4025423019352,7.192127304513198,20538.054483926764,0.07945652943344635,4659.797133596756,3360.907943426846,3140814.9660412525,23430.405918616874,80629.91800586352,24105.718000341178,137.70861769677938,1209.7542057945607,1.0,3241.0924879969434,2724.310461201804,28739.562860040125,1197011.7695108638,52501745.00746411,11458.666206389626,274696.15616229805,424334.4238392912,4382690.254491923,1115.217869902264,748050.8790752987,25.167721393299104,6555945.544596758,75561.2988303254,15396.260217924006,1518613.527301281,32506.82664210741,5387.905872531899,188006.52965739887,657101.2531653201,14875.740178950968,275711.9443828292,13839.400264246333,33362.1273279596,4971.666788675505,122371.05767875098,49106.9369062583,102176.38790523665,100594.66685281407,3686.4025423019352,369.119486560693,83939385.8882152,158.1095469911516,2.015466861952739,2629.5588566570186,13751.274659220742,4428.106905666093,0.11144680730756251,58801.97284037259,79456.52943344634,187.68207888265545,7945652.943344635,1615351856521.3074,45162121990039.22,605397637056.701,1017741835.1465567,37706535642908.484,165782246060.08804,439790867552.76666,856262187.8385189,2450206860396.726,9460858.025198521,555917646130.0742,400959093111.32745,374701819154957.25,2795266775078.6245,9619215802830.988,2875832064105.6235,16373962093.74777,143991396581.76575,118972325.999,386665010334.1274,325012487775.3757,3428653582528.122,142804492603059.2,6263501535686499,1367028341066.3198,32771478276105.293,50623447182263.85,522858566616133.4,133046412833.79819,89243087619157.1,2997790079.933795,782129717414553.0,9014525349489.322,1836786558334.1248,181171847888361.88,3878091262760.6636,642781619962.1562,22429334245191.125,78392722141280.64,1774688087835.6755,32892662649659.492,1651051880194.909,3980129340895.9126,593123953525.0385,14595049699291.957,5858498125757.155,12189727455046.777,12001026827296.746,439790867552.76666,44036259568.0585,10014038054176448,18862599523.977432,240446861.017124,313708543106.6662,1637796569708.3047,527666006802.41943,13204024.947474092,7015123918923.218,9460858025198.523,22344420443.605988,946085802519852.1,52517945458.60238,1468300451008.479,19682547771.46821,33154365.04945552,1225906154335.7258,5389873990.263652,14298378834.359474,27895966.228543144,79660557999.8669,308186.51670998044,18073865765.572075,13035889176.800879,12182218766874.285,90879066033.30539,312737716459.81903,93498386051.97176,534127774.16190785,4692250434.514144,3876939.4851080575,12571163267.926508,10566730732.652988,111471591230.54993,4642826591304.874,203637511358947.44,44444508833.56954,1065458712140.072,1645857790865.4507,16999056628593.285,4325574161.728088,2901450596796.5444,97617558.24264778,25428420238539.93,293078160481.51624,59717179201.70224,5890217160814.38,126083605004.64091,20897967165.904095,729217320552.3339,2548686027224.577,57698248110.290665,1069398630427.8792,53678616360.481346,129401043369.89484,19283508614.958904,474638274299.65063,190470134290.38596,396309595989.8237,390174604881.74536,14298378834.359474,1431696672.684415,325574086058365.7,613256467.3191577,7817352.660109363,10199219501.473452,53336805266.54796,17175213322.395565,432266.5939157965,228074084213.91556,308186516709.98047,727958879.5554138,30818651670998.047
2022-02-01,13885.10020640619,388200.6182331468,5203.8240593329865,8.49809549083341,324114.5411908614,1425.016531039005,3780.315874327848,7.145528449441674,21061.27383064273,0.07921983490455033,4778.508280944113,3446.5291038881896,3220829.124927323,24027.30966564038,82684.01388226726,24719.82573065844,132.06035828241394,1206.0122082333598,1.0,3323.6612773407915,2793.7139161822643,29471.7205878473,1227506.3675529973,53839258.68217718,11750.582651125687,281694.2067072073,435144.59966212924,4494341.936670892,1143.6287189334057,767107.9271791675,25.04757993744031,6722962.218334462,77486.26857086015,15788.489249130247,1557301.1244293528,33334.95769087851,5525.166029914358,192796.10959071998,673841.3045989387,15254.70864767513,282735.8727463785,14191.96734750472,34212.047678460716,5098.323003912246,125488.53430759726,50357.965793508636,104779.39312033229,103157.37676845062,3780.315874327848,378.5230284964467,86077792.45844486,162.13748322781024,2.0668120979712663,2696.1779863087354,13625.811461689713,4443.402136043533,0.10342777911549024,60299.98862561779,79219.83490455033,182.95425276386675,7921983.490455033,1652132609513.613,46190440895804.41,619182238139.6233,1011154436.8033314,38565094580441.695,169557024798.37296,449804685410.7303,850217887.378528,2505996843828.801,9426051.711582698,568575612593.4332,410088730907.70374,383233591969941.8,2858913600002.062,9838240530474.844,2941313320322.447,15713334516.79121,143498575240.7157,118986005.499,395469179022.48474,332412859393.49567,3506722307930.5903,146056079399718.4,6406118329619617,1398154891943.2954,33517668428300.21,51776117728258.26,534763794391109.06,136075813039.82457,91275108041666.92,2980311484.172915,799938419480313.5,9219781578269.357,1878609268617.9143,185297040154949.88,3966393459115.8027,657417435618.2778,22940038955947.215,80177685174462.66,1815096847037.9158,33641612109365.156,1688645504851.825,4070754893201.3774,606629088979.1807,14931379433185.223,5991893194824.873,12467281445997.742,12274284199433.277,449804685410.7303,45038943150.17634,10242052686802300,19292091470.938244,245921715.6546088,320807448705.21387,1621280877508.949,528702670993.5442,12306458.294585073,7174854778197.3955,9426051711582.697,21768995725.42688,942605171158269.8,36539446932.13178,1021572453788.013,13694164985.02624,22363231.42041371,852926223197.9941,3750013693.764122,9948120591.378103,18803872.762830388,55423964250.7448,208471.59260194242,12574921833.531483,9069741335.641766,8475798743854.134,63229259666.74011,217587780604.76968,65051655877.87451,347524496.15540165,3173691109.6914268,2631140.4349312284,8746407520.180809,7351820286.957868,77556542942.44273,3230254237226.3887,141681133462406.88,30922340121.41598,741294651393.1594,1145108265032.3489,11827121608677.598,3009525337.544877,2018689024905.1785,65914160.092281535,17691865204560.9,203909612197.65427,41548325649.890625,4098128277618.198,87722875558.99266,14539795027.77576,507354150160.28253,1773252495413.1462,40143651022.38796,744035856022.1139,37346985621.13681,90030988758.00134,13416532835.562063,330230360009.0643,132519909209.80669,275733053243.2857,271464623089.26453,9948120591.378103,996105314.8146876,226518705865678.8,426674195.7957655,5438935.970924156,7095148827.579732,35857113554.13458,11693070567.339201,272176.2025566867,158682919218.49857,208471592601.94244,481454732.80695826,20847159260194.242
2022-03-01,14087.340439629472,393816.86104647047,5277.462694939772,8.567740588983039,328836.96849522163,1445.829226913472,3835.3959914939574,7.211229516082687,21401.137599125123,0.08094830611586629,4850.011647083763,3498.5945278969043,3267757.3847528505,24377.393382336402,83978.45372259036,25087.32518036197,128.68470608103615,1176.1651836576582,1.0,3373.3113178347508,2836.6051797650507,29902.565127386817,1245615.338980587,54630771.618384674,11929.960877582034,285777.4264400502,441668.2215510281,4559845.400023025,1160.237970594856,778284.8753265467,25.30078242750682,6820917.404884854,78564.56982762947,16010.477026892351,1578001.9012642044,33748.02903335844,5606.489810862065,195841.61704589907,679725.423510866,15485.069965413588,287629.06357523956,14403.829646055554,34703.56424909529,5172.280795269042,127311.75100205114,51597.66281688398,106307.07445117066,104660.40471316237,3835.3959914939574,384.0382006282897,87656314.74350873,164.64119993974307,2.0978848994273602,2735.4619520733645,13128.146950792754,4458.91028962427,0.09812297938804253,61231.713464601846,80948.30611586627,175.4541843080837,8094830.6115866285,1678010642976.811,46902192946820.336,628230527526.5217,1019392278.4881217,39169347493509.34,172219649342.95026,456852400304.9327,857249713.313906,2549192079018.69,9633652.656123433,577619048063.54,416697815432.5306,389238245059803.0,2903708171098.1167,9999941225894.166,2987391195819.176,15306124931.883635,139889628547.39786,118999651.1865,401702092244.9216,337820421110.28253,3561870297335.421,148330824995990.78,6507333062797503,1421034822624.4895,34040319047016.67,52595132585105.39,543145041774027.9,138201505911.4449,92705241962632.58,3008141587.9951158,812472166006916.0,9358140354669.025,1907084659832.9133,187963370112793.1,4018775235666.3853,667537651196.3572,23327633711211.156,80965353243295.02,1843982378893.1926,34260876421426.27,1715709189345.1724,4132817929797.3086,616072314597.2059,15161396142055.668,6145918387087.779,12662745187230.295,12466602461945.36,456852400304.9327,45744630842.53291,10441163801930646,19598159344.33309,249820598.0587467,325833984683.4823,1561250161506.0688,530520243033.52783,11682962.367323762,7293860550381.985,9633652656123.434,20919207426.847294,963365265612343.5,36985792061.88782,1033951624549.0288,13855783402.544537,22494286.499450687,863349316441.0043,3795971239.055837,10069690529.898535,18932816.775129862,56187896396.85246,212526.7881892843,12733526462.677877,9185430725.706017,8579376331473.549,64001946038.98199,220482328823.75708,65865845756.0663,337856943.3353979,3087978252.5038786,2624826.272008784,8856504284.546873,7447402140.245539,78508080404.40004,3270317070426.7896,143431073304224.28,31321671696.34408,750298079015.6259,1159583604345.6746,11971705697207.041,3046161942.818551,2043358197177.001,66426269.87521324,17908066741873.82,206268376598.75543,42034916148.00838,4142985714268.476,88604203871.93953,14719631944.032944,514174932888.46814,1784593996353.563,40655479312.00811,755159483930.8881,37816722785.033936,91112926291.79636,13579632209.4526,334252300480.3986,135467758162.22598,279105297923.93097,274782027340.2764,10069690529.898535,1008278112.7587396,230138417106364.6,432259390.0450381,5507919.326043889,7181854331.281588,34467464981.11169,11706704292.509659,257618.25858412345,160761602340.777,212526788189.2843,460648481.1676495,21252678818928.43
