,current_price.aed,current_price.ars,current_price.aud,current_price.bch,current_price.bdt,current_price.bhd,current_price.bmd,current_price.bnb,current_price.brl,current_price.btc,current_price.cad,current_price.chf,current_price.clp,current_price.cny,current_price.czk,current_price.dkk,current_price.dot,current_price.eos,current_price.eth,current_price.eur,current_price.gbp,current_price.hkd,current_price.huf,current_price.idr,current_price.ils,current_price.inr,current_price.jpy,current_price.krw,current_price.kwd,current_price.lkr,current_price.ltc,current_price.mmk,current_price.mxn,current_price.myr,current_price.ngn,current_price.nok,current_price.nzd,current_price.php,current_price.pkr,current_price.pln,current_price.rub,current_price.sar,current_price.sek,current_price.sgd,current_price.thb,current_price.try,current_price.twd,current_price.uah,current_price.usd,current_price.vef,current_price.vnd,current_price.xag,current_price.xau,current_price.xdr,current_price.xlm,current_price.xrp,current_price.yfi,current_price.zar,current_price.bits,current_price.link,current_price.sats,market_cap.aed,market_cap.ars,market_cap.aud,market_cap.bch,market_cap.bdt,market_cap.bhd,market_cap.bmd,market_cap.bnb,market_cap.brl,market_cap.btc,market_cap.cad,market_cap.chf,market_cap.clp,market_cap.cny,market_cap.czk,market_cap.dkk,market_cap.dot,market_cap.eos,market_cap.eth,market_cap.eur,market_cap.gbp,market_cap.hkd,market_cap.huf,market_cap.idr,market_cap.ils,market_cap.inr,market_cap.jpy,market_cap.krw,market_cap.kwd,market_cap.lkr,market_cap.ltc,market_cap.mmk,market_cap.mxn,market_cap.myr,market_cap.ngn,market_cap.nok,market_cap.nzd,market_cap.php,market_cap.pkr,market_cap.pln,market_cap.rub,market_cap.sar,market_cap.sek,market_cap.sgd,market_cap.thb,market_cap.try,market_cap.twd,market_cap.uah,market_cap.usd,market_cap.vef,market_cap.vnd,market_cap.xag,market_cap.xau,market_cap.xdr,market_cap.xlm,market_cap.xrp,market_cap.yfi,market_cap.zar,market_cap.bits,market_cap.link,market_cap.sats,total_volume.aed,total_volume.ars,total_volume.aud,total_volume.bch,total_volume.bdt,total_volume.bhd,total_volume.bmd,total_volume.bnb,total_volume.brl,total_volume.btc,total_volume.cad,total_volume.chf,total_volume.clp,total_volume.cny,total_volume.czk,total_volume.dkk,total_volume.dot,total_volume.eos,total_volume.eth,total_volume.eur,total_volume.gbp,total_volume.hkd,total_volume.huf,total_volume.idr,total_volume.ils,total_volume.inr,total_volume.jpy,total_volume.krw,total_volume.kwd,total_volume.lkr,total_volume.ltc,total_volume.mmk,total_volume.mxn,total_volume.myr,total_volume.ngn,total_volume.nok,total_volume.nzd,total_volume.php,total_volume.pkr,total_volume.pln,total_volume.rub,total_volume.sar,total_volume.sek,total_volume.sgd,total_volume.thb,total_volume.try,total_volume.twd,total_volume.uah,total_volume.usd,total_volume.vef,total_volume.vnd,total_volume.xag,total_volume.xau,total_volume.xdr,total_volume.xlm,total_volume.xrp,total_volume.yfi,total_volume.zar,total_volume.bits,total_volume.link,total_volume.sats
2021-10-22,14967.77633060351,404773.2631742232,5459.293896037806,6.54543952917833,348952.34473107546,1535.928889453809,4074.8601575202883,8.620376249887274,23060.44860343885,0.0651869551084983,5040.960602546457,3741.5365966351305,3330138.9270246066,26051.803445074474,89915.05333867126,26082.963900699036,94.76895608357916,869.9146585121994,1.0,3505.708139878801,2953.951700249766,31682.1273716437,1276674.061651891,57647250.39144741,13073.21084896602,305071.52854831197,464138.7965220338,4798708.564761833,1228.2524984000786,816921.6238972632,20.607719249803438,7659922.845356875,82766.5220894734,16943.268534969386,1674467.2808947144,34087.63141871236,5695.285347200439,207047.02673753697,705969.5222903872,16149.045691387413,289874.9569695837,15284.56818382962,35064.57914147782,5488.836632179829,136089.45753427735,38850.93919984571,113418.84672724851,106985.57568149974,4074.8601575202883,408.01574757250626,92842400.7048133,168.50463594881865,2.281962436812939,2876.1340958216006,10860.374191456694,3729.5462066022183,0.118508924255627,59841.46071476812,65186.955108498296,143.31947458327105,6518695.51084983,1768750379755.7322,47833641878697.91,645134510449.4878,772655487.4349062,41235890931759.81,181501563525.14648,481528471021.37964,1016956391.1014181,2725065923204.19,7694724.0804357845,595552005316.8871,442043136397.6267,393524352696993.1,3078555973780.9897,10625070171628.068,3082235814356.531,11179579695.78574,102645455399.74013,118023399.874,414243053180.14886,349084065066.94904,3744100550003.187,150878279845128.22,6812207355963010,1544868532439.0544,36050470694782.914,54859066329044.63,567519587501312.6,145143274792.20593,96536078612065.2,2433031638.0321083,905177305056525.9,9779256744766.504,2002195382506.8958,197872721608984.8,4028025145428.4663,673006822937.618,24466861281227.27,83424807604454.03,1908081124374.2424,34249916322573.176,1806185847678.3481,4143432111021.216,648732491184.9594,16078235647403.85,4591650850059.691,13402622698173.58,12642544452520.441,481528471021.37964,48215445803.37071,10970025386229142,19912285715.79383,269689650.7649438,339874351530.1942,1281530335780.8486,440164138423.53094,13965441.425260365,7069158652555.554,7694724080435.784,16900325316.796915,769472408043578.5,184108767851.02,4978849569636.646,67151182001.6346,80511144.75143906,4292233182012.833,18892450628.484535,50122173541.0596,106033576.04522341,283651404503.56494,801821.8417953515,62005539421.56233,46022179745.400955,40961847711048.555,320446092100.0566,1105985907044.4856,320829376361.12506,1165690570.8432426,10700247810.80919,12300415.77732592,43121409073.88566,36334616165.55849,389701001969.5562,15703527581281.645,709080895194047.5,160804964484.83966,3752484135710.78,5709065932847.317,59025756506532.12,15107925793.093245,10048415361409.611,253481994.61957607,94219670694108.44,1018056527879.2329,208407997583.72617,20596520223384.676,419289524431.7031,70053957560.09157,2546749239025.282,8683666565988.543,198638784983.1852,3565561108059.773,188005415988.6227,431306315538.1719,67514567759.807304,1673946870312.3828,477879839192.5249,1395090604029.3203,1315959169985.724,50122173541.0596,5018733236.666295,1141993280801827.8,2072664650.8132858,28068918.404728822,35377433017.44486,133586316806.5853,45874693847.27866,1457700.298436622,736070432591.5693,801821841795.3514,1762878552.6832957,80182184179535.14
2021-10-23,14658.6832318354,396525.1234023827,5345.897902950629,6.370612410615892,341556.0270352977,1505.0810590639749,3990.711976433473,8.294572230938368,22549.079044519924,0.06539979331350652,4937.109321644669,3655.9590837142987,3255303.573416309,25480.29689833007,88011.56099946151,25496.25974623581,91.14523631408244,861.1120330107186,1.0,3427.2553710568786,2900.6490000706685,31021.999084404422,1249881.0142390197,56791023.99422942,12794.102875086435,299278.8553538554,452845.98621451994,4699222.98072947,1203.4470850372315,803717.3680385154,20.815615646657143,7438892.8572464995,80513.0131957426,16561.454702198887,1639823.458236276,33328.71042102248,5576.417389557329,202488.71770281025,691390.8499171004,15777.87840562619,280528.6946681815,14968.266704119253,34212.77284516181,5379.479744232318,133192.21907719012,38306.445190587256,111146.11739804386,104835.60454970988,3990.711976433473,399.58999020028335,90739042.89840147,164.02456755633813,2.226378304532471,2823.2491412877416,10650.429354370188,3651.2045234623765,0.11487551829295989,59260.85568288421,65399.793313506525,138.65418810151166,6539979.3313506525,1732437161850.947,46863340214481.7,631805193144.4258,752250474.2793909,40366814995021.07,177878075205.11823,471642481174.71185,979651695.3134912,2664963959204.781,7724423.400153327,583178853335.3131,432079694926.333,384728204743835.75,3011390078052.4136,10401650444075.197,3013276647977.1167,10749532627.520622,101632947293.85542,118036873.6865,405050335972.6917,342813337441.83923,3666336409535.682,147717245997716.53,6711849821101088,1512071645371.6902,35370285486844.16,53519624014335.64,555377887282470.4,142229449908.0083,94987374649791.34,2458507129.7817106,879165899494490.9,9515434221947.9,1957316296875.0525,193802611939500.47,3938955196504.285,659049149427.002,23931138551519.895,81712059863519.05,1864709295696.396,33154296871168.83,1769025298970.558,4043438155358.9214,635774064623.5115,15741328627498.072,4527249012547.942,13135809071693.09,12390000816211.545,471642481174.71185,47225561640.02386,10723998019588508,19385251171.400887,263124623.82255965,333665831519.4559,1256626596493.532,431095625228.291,13565337.304745467,7003746994487.713,7724423400153.327,16391528399.899944,772442340015332.6,79612985634.26236,2153573308992.5933,29034183099.442852,34599524.82132411,1855029857975.3237,8174267418.060411,21674013294.746418,45048770.71290429,122466627980.50215,355193.75943974196,26814005547.59552,19855932037.543175,17679926124790.527,138386407485.62634,478000856603.66724,138473103538.80536,495020205.7402623,4676797965.3646555,5430892.0785032045,18613816009.634586,15753756563.286425,168484026047.376,6788246778881.324,308438548394877.06,69486236402.55824,1625417701924.2185,2459458358219.523,25522017615095.688,6536058797.190321,4365080973759.8657,113051989.95272553,40401478141814.625,437275385622.83655,89947155173.1975,8906068802944.236,181012039212.00525,30286160803.40057,1099739391227.4055,3755022803314.823,85691462662.77411,1523583434159.5168,81294368889.61588,185813483377.19052,29216569921.318153,723382179441.5135,208046686214.9413,603647279074.641,569374161851.6599,21674013294.746418,2170218951.202957,492814122829819.94,890836191.3550813,12091715.277006084,15333389075.43482,57843700268.16068,19830109476.877464,623902.0819908085,321852486852.92914,355193759439.742,753046758.0800446,35519375943974.195
2021-10-24,15351.927449635994,415277.7456307127,5599.813224875444,6.6374485112110015,357619.96520423994,1576.2599449854133,4179.44229816945,8.576040391122783,23621.091958160112,0.06784488622299602,5167.817710052056,3828.6240911034038,3409254.6714627855,26685.3211295821,92186.7946591831,26701.62095454501,94.8528929003686,878.3874668354299,1.0,3589.9695769933364,3037.2759480411064,32488.058816360626,1308761.0098545267,59476807.45678981,13399.166624662319,313456.04084713646,474734.4917644714,4920875.361864711,1260.3609783205784,841532.0608757219,21.21043350838747,7788848.910718473,84294.1268512049,17344.685537403202,1718563.0215433098,34925.509564652995,5838.442662331731,212174.34508513767,728666.6186606727,16517.360755038262,293795.5681267405,15677.556157970981,35830.77676643651,5633.888217932425,139447.0880989813,40118.048675898746,116402.48333477684,109766.19349660927,4179.44229816945,418.48755731570685,95031452.65002827,171.78168197359537,2.3316690637257538,2953.118697925164,11009.694549363852,3816.081616548881,0.11631452612872824,62062.753789936185,67844.88622299602,133.52197233624,6784488.622299602,1811348228497.6587,48997926244142.46,660712591176.0583,783231877.7202846,42194981221296.195,185980273054.82358,493125402509.4343,1012152037.3133346,2787013110500.8584,8005111.511558525,609742163321.8783,451732949348.1956,402252253334996.3,3148556382482.491,10876965628231.13,3150479571552.2754,11195741712.237999,103693284956.38329,118050281.9365,423574502614.102,358363106260.8511,3833211691326.592,154418521355310.5,7017568978031266,1580945246683.1704,36984153694252.32,56013128220241.695,580605848914608.5,148707882631.55048,99290959567905.27,2504398117.314285,918993248421084.4,9945722961862.158,2046470420414.1567,202770374915226.88,4120802426070.091,688868079157.7369,25034095905118.82,85974154920051.03,1948855753862.0068,34664447419561.75,1849768614857.9739,4227613388253.637,664733042582.7184,16453128561601.883,4733461426147.815,13734134210370.758,12951129478124.783,493125402509.4343,49376646553.26973,11212602064066522,20268233181.27374,275109730.8059884,348433533155.92145,1299639736177.042,450166970840.5887,13731259.499005424,7322680458325.927,8005111511558.525,15769948634.608644,800511151155852.6,60606702820.10319,1639443320704.3184,22107075289.50424,26203476.450915597,1411820569421.9148,6222796346.997346,16499701301.345774,33856695.39301425,93251906334.95883,267839.6488434635,20401633163.594547,15114732873.81211,13459136345533.783,105348942838.96255,363937211544.0437,105413291674.03801,374462497.3313056,3467718847.5548987,3948471.637035988,14172566930.102682,11990629930.311401,128257128125.75128,5166757714756.669,234803949279191.47,52897547381.07555,1237469182753.2686,1874168071417.264,19426748312204.52,4975682923.836446,3322220202929.188,83735051.8067279,30749002220811.805,332778350621.51685,68473760400.584915,6784583803303.709,137879753924.69592,23049142235.005894,837626905208.5614,2876647336757.963,65207628028.28222,1159853102858.621,61892227547.89368,141453589226.56747,22241597354.21413,550512517419.7001,158378982821.488,459536480884.04095,433337578670.01117,16499701301.345774,1652115091.303752,375167419740479.2,678163793.0133669,9205018.359007793,11658391944.907492,43464332923.826195,15065217395.677624,459189.2413425981,245012809465.3731,267839648843.46353,527121205.0659093,26783964884346.35
2021-10-25,15040.645403803048,406687.2281557834,5484.744908029067,6.626271713590219,350389.3189245116,1544.2670134420987,4094.9389934187225,8.569970521812444,23138.043288413162,0.06697273678364112,5067.69175130534,3754.428436359987,3340610.281441063,26145.775979079204,90338.66207063812,26180.992454422598,96.41610796907109,859.7811891331027,1.0,3518.37158314537,2976.885515228631,31828.93706109537,1281233.9019559626,57833437.292736866,13129.529185696545,307095.69516982324,465430.7659919723,4821950.662206901,1234.636391332727,824517.293085095,21.461774084340533,7631367.738302679,82687.82547313803,16993.996822687706,1682610.4323957565,34231.278065913444,5728.95478477958,207830.43463804125,714019.504331013,16175.758397839747,287931.7246554988,15359.706670414318,35166.10759378197,5522.8442204238345,136238.60393128466,39842.527924266156,114052.24084469849,107546.85286725467,4094.9389934187225,410.02624141101666,93183403.44591625,168.11129132058588,2.28296943822087,2893.074398850326,10925.735062168222,3775.9703210382445,0.11825077833478934,60718.93640661414,66972.73678364111,137.68233561601463,6697273.678364112,1770982673037.2205,47885974956813.94,645986704532.0751,780989854.2552708,41257100076019.31,181831965977.82776,482164548780.28937,1009325341.40453,2724422566428.1436,7891917.015783908,596847386707.6809,442096674776.6475,393345017249471.8,3078572427507.2676,10635729784195.695,3082960124901.1685,11381758452.39425,101388728199.90776,118063624.374,414319657285.96313,350537484279.66064,3747840929441.746,150874139335206.97,6809682205640187,1545955513792.3665,36159429366811.6,54798724215703.04,567767595322040.1,145374057950.90356,97083988118224.89,2529973832.661317,898566495869390.2,9738140456983.611,2000982877438.2026,198121413093821.22,4030702761983.7095,674679834665.442,24471296862081.438,84073265237747.5,1904578415390.5205,33902939780341.945,1808551006019.9895,4140130006329.3916,650198894030.2201,16036792892432.41,4706475663681.232,13429247012628.592,12663260641689.742,482164548780.28937,48279136269.37032,10972015394740098,19811996660.01747,268946563.6641575,340649253713.27423,1289333668732.6948,445032058602.3969,13967544.890728317,7149632362223.884,7891917015783.906,16207773639.721464,789191701578390.6,60583042560.772575,1638117846063.6143,22092305567.824074,26690324.149399538,1411352402196.5415,6220238007.665812,16494229912.456104,34519455.44412944,93198996697.34203,269763.16867019725,20412434228.160053,15122668718.31575,13455827820282.582,105314008568.041,363880063798.6497,105455858945.28809,388359742.2725841,3463159922.713945,4030324.043573315,14171842340.7823,11990760836.768488,128205525552.04317,5160752476278.459,232950481769600.62,52885152472.16949,1236967634779.7678,1874734171849.7622,19422600184468.223,4973059801.295261,3321118537003.5337,86447059.80851899,30738805687792.94,333062838422.4923,68451054136.69288,6777479071028.228,137882046966.71478,23075971957.11322,837131634252.654,2876038418482.3467,65155226598.27558,1159776024304.7847,61868206978.63174,141647498219.1993,22245767882.929565,548762963210.4939,160483908779.2242,459397291521.7284,433193881619.3738,16494229912.456104,1651567241.1342297,375338553988790.6,677144713.1149224,9195698.118493395,11653173433.150232,44008368956.80664,15209438459.990011,476308.8115148038,244573142295.9167,269763168670.19727,554578249.4401803,26976316867019.727
2021-10-26,15538.401390539235,420590.15942908614,5646.2706239851395,6.818927752009705,362286.8303038363,1594.598196714233,4230.208371594039,8.681032937955315,23501.341399019457,0.06687036781417716,5236.532641112543,3891.85515499209,3423515.8798071747,27013.26461932522,93764.68366056755,27108.740422272112,94.78101258955148,876.278956845729,1.0,3643.478470453945,3073.4790434235083,32887.12045370212,1332473.3349684083,59903346.21888742,13540.685487053934,317647.8271959261,481291.9574781116,4940883.42032392,1275.712399038358,854480.390093049,21.575521600208,7825694.023987859,85396.48545988057,17561.710054672647,1744225.3242769304,35328.14104348861,5903.78455860593,214835.3412087332,738117.7429520466,16812.362483311746,295430.5613178959,15866.196007045666,36411.33665953571,5699.182070297038,139842.1648950299,40574.04359614424,117667.04881321394,111680.8090330293,4230.208371594039,423.5707642477113,96381884.41278584,172.34863004841458,2.3400243649146746,2989.1625301608933,10896.540024464013,3859.144944296896,0.12110385309205572,62166.08467685307,66870.36781417715,130.06522247544646,6687036.781417716,1834730563503.0076,49662098488650.75,666695693029.4122,805159735.7079792,42777806005049.34,188285652718.4136,499491060520.2567,1025031858.4085822,2774972036335.2764,7895864.222947645,618314988907.4204,459539268044.544,404239088787121.06,3189650014270.256,11071469101961.736,3200923527506.1997,11191474352.290411,103468545049.83275,118077176.499,430211650426.09705,362907727476.2952,3883218326355.658,157334689153275.88,7073217984368274,1598845910172.3147,37506958556337.22,56829595410692.19,583405563682570.2,150632518103.2149,100894631835951.31,2547576672.045747,924035854497584.0,10083375886040.605,2073637137749.8455,205953201468672.56,4171447145373.571,697102211338.5833,25367150502126.477,87154859011592.31,1985156292307.1675,34883606531931.836,1873435626291.6606,4299347825312.5073,672943327214.3995,16512167986312.707,4790868506980.044,13893792890834.307,13186954599744.113,499491060520.2567,50014039889.893326,11380500777114730,20350439609.587505,276303469.9479905,352951871658.0052,1286632679697.0547,455676938722.96814,14299601.036259627,7340395752640.56,7895864222947.645,15357734230.614998,789586422294764.5,62561418198.892,1693399223835.3792,22733271518.286777,27454676.967043206,1458655709099.4783,6420243764.881669,17031857290.344103,34951969.535324976,94622169330.37834,269236.5154425505,21083565821.144054,15669564184.97593,13783915300165.352,108762034284.6794,377519632769.12177,109146443303.72252,381611622.5147663,3528114179.8469143,4026964.2582716816,14669538684.173374,12374581073.585964,132411619725.18668,5364864727885.497,241185576309969.2,54518123593.52694,1278928125081.989,1937799563208.8997,19893209485440.484,5136331266.763654,3440347799221.607,86868346.09071699,31508165108243.746,343827212677.36444,70707755540.86351,7022679309316.014,142239767815.29333,23770085830.836487,864979819188.13,2971843218373.878,67690698276.73742,1189475959000.2383,63881199788.463394,146600979256.77338,22946305989.274403,563038882826.335,163361059200.3355,473756422170.62396,449654351377.4857,17031857290.344103,1705399870.4821556,388057125440000.75,693917890.8732518,9421512.497299649,12035102094.074816,43872144904.592445,15537864847.364412,487593.83982719673,250295916774.57422,269236515442.5505,523674512.70583695,26923651544255.05
